FinalID,OriginalTraitValue,unique_id,Temps,logB0,E,E_h,E_l,T_h,T_l,one_over_kt,index_panda,B0
MTD2470,285.27586,21,288.15,5.651685874135,4.08365955339486e-10,2.04182977669743e-09,2.04182977669743e-10,298.15,279.15,3343971.21968202,153,284.95886
MTD2470,285.26386,21,293.15,5.651685874135,4.08365955339486e-10,2.04182977669743e-09,2.04182977669743e-10,298.15,279.15,3401996.05431124,154,284.95886
MTD2470,284.95886,21,298.15,5.651685874135,4.08365955339486e-10,2.04182977669743e-09,2.04182977669743e-10,298.15,279.15,3460020.88894047,155,284.95886
MTD2471,284.95886,22,283.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3285946.3850528,156,284.95886
MTD2471,285.00886,22,285.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3309156.31890449,157,284.95886
MTD2471,285.17886,22,287.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3332366.25275618,158,284.95886
MTD2471,285.19886,22,289.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3355576.18660787,159,284.95886
MTD2471,285.39886,22,291.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3378786.12045956,160,284.95886
MTD2471,285.39886,22,293.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3401996.05431124,161,284.95886
MTD2471,285.45886,22,295.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3425205.98816293,162,284.95886
MTD2471,285.53886,22,297.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3448415.92201462,163,284.95886
MTD2471,285.48886,22,299.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3471625.85586631,164,284.95886
MTD2471,285.48886,22,301.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3494835.789718,165,284.95886
MTD2471,285.23886,22,303.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3518045.72356969,166,284.95886
MTD2471,284.95886,22,305.15,5.64233587195175,3.25821914068622e-09,1.62910957034311e-08,1.62910957034311e-09,305.15,283.15,3541255.65742138,167,284.95886
